sub_id,run,trial,vif
dmp0019,2,trial02,6.3
dmp0060,2,trial02,6.5
dmp0060,2,trial21,5.1
dmp0060,4,trial28,5.3
dmp0169,1,trial15,5.1
dmp0217,3,trial28,6.6
dmp0217,4,trial15,5.4
dmp0305,4,trial22,9.4
dmp0350,1,trial19,6.6
dmp0381,3,trial12,13.1
dmp0521,2,trial22,6.1
dmp0528,4,trial28,5.4
dmp0574,1,trial13,6.3
dmp0649,1,trial18,5.2
dmp0678,1,trial09,5.1
dmp0678,1,trial10,5.6
dmp0730,4,trial17,6.1
dmp0755,3,trial28,6.9
dmp0773,1,trial16,6.1
dmp0782,4,trial05,6.8
dmp0782,1,trial28,6.5
dmp0808,1,trial22,6.8
dmp0844,1,trial00,5.3
dmp0844,1,trial08,5.1
dmp0844,1,trial04,6.1
dmp0848,2,trial17,5.2
dmp0848,2,trial13,5.5
dmp0848,3,trial12,5.1
dmp0909,3,trial27,5.4
dmp0909,1,trial22,5.1
dmp0912,2,trial28,5.9
dmp0922,1,trial15,5.9
dmp0922,3,trial27,5.4
dmp0922,4,trial18,6.6
dmp0922,1,trial05,5.2
dmp0929,1,trial23,5.1
dmp0952,4,trial28,5.1
dmp0952,4,trial27,5.3
dmp0978,4,trial14,8.7
dmp1000,1,trial13,6.1
dmp1001,4,trial18,6.1
dmp1003,1,trial02,5.2
dmp1006,1,trial08,5.6
dmp1064,3,trial26,6.3
dmp1064,2,trial06,6.0
dmp1064,3,trial17,13.6
dmp1064,3,trial14,5.6
dmp1083,2,trial21,8.7
dmp1083,4,trial25,8.1
dmp1090,3,trial14,5.1
dmp1090,1,trial20,5.5
dmp1226,3,trial11,5.9
dmp1241,3,trial03,6.2
dmp1291,4,trial12,5.8
